,jpg_id,file_name,toys
53,213753,20220415_SD01_4202.JPG,"Lucky Clover Chew, Unknown"
66,213766,20220421_SD02_4865.JPG,Kong
67,213767,20220421_SD02_4866.JPG,Kong
72,213772,20220421_SD02_4880.JPG,Kong
73,213773,20220421_SD02_4881.JPG,Kong
81,213781,20220421_SD02_4893.JPG,Ziggs
92,213792,20220421_SD02_4905.JPG,Ziggs
122,2137122,20220426_SD02_5333.JPG,Ziggs
134,2137134,20220426_SD02_5353.JPG,Ziggs
135,2137135,20220426_SD02_5354.JPG,Ziggs
181,2137181,20220426_SD02_5436.JPG,Dental Kong
240,2137240,20220426_SD02_5604.JPG,Unknown
241,2137241,20220503_SD03_5801.JPG,"Ziggs, Ziggs"
242,2137242,20220503_SD03_5804.JPG,Ziggs
243,2137243,20220503_SD03_5805.JPG,Ziggs
245,2137245,20220503_SD03_5811.JPG,"Ziggs, Ziggs"
246,2137246,20220503_SD03_5812.JPG,"Ziggs, Ziggs"
487,2137487,20220607_SD04_6569.JPG,Ziggs
488,2137488,20220607_SD04_6570.JPG,Ziggs
584,2137584,20220607_SD04_6797.JPG,"Dental Kong, Ziggs, Ziggs,  Grenade"
585,2137585,20220607_SD04_6798.JPG,"Dental Kong, Ziggs, Ziggs,  Grenade"
802,2137802,20220705_SD05_0706.JPG,Kong
803,2137803,20220705_SD05_0707.JPG,Kong
804,2137804,20220705_SD05_0708.JPG,Kong
830,2137830,20220705_SD05_0774.JPG,Ziggs
834,2137834,20220705_SD05_0783.JPG,Ziggs
835,2137835,20220705_SD05_0784.JPG,Ziggs
836,2137836,20220705_SD05_0785.JPG,Ziggs
845,2137845,20220705_SD05_0799.JPG,Ziggs
846,2137846,20220705_SD05_0800.JPG,Ziggs
944,2137944,20220705_SD05_0943.JPG,Kong
987,2137987,20220719_SD05_2240.JPG,Kong
988,2137988,20220719_SD05_2241.JPG,Kong
989,2137989,20220719_SD05_2242.JPG,Kong
990,2137990,20220719_SD05_2243.JPG,Kong
996,2137996,20220719_SD05_2250.JPG,Kong
997,2137997,20220719_SD05_2251.JPG,Kong
1000,21371000,20220719_SD05_2254.JPG,Kong
1001,21371001,20220719_SD05_2255.JPG,Kong
1002,21371002,20220719_SD05_2256.JPG,Kong
1007,21371007,20220719_SD05_2261.JPG,Kong
1015,21371015,20220719_SD05_2269.JPG,Kong
1016,21371016,20220719_SD05_2270.JPG,Kong
1017,21371017,20220719_SD05_2271.JPG,Kong
1019,21371019,20220719_SD05_2273.JPG,Kong
1020,21371020,20220719_SD05_2274.JPG,Kong
1021,21371021,20220719_SD05_2275.JPG,Kong
1505,21371505,20220804_SD05_5561.JPG,Ziggs
1570,21371570,20220804_SD05_5877.JPG,Ziggs
1571,21371571,20220804_SD05_5878.JPG,Ziggs
1572,21371572,20220804_SD05_5879.JPG,Ziggs
1580,21371580,20220804_SD05_5892.JPG,Grenade
1581,21371581,20220804_SD05_5893.JPG,Grenade
1582,21371582,20220804_SD05_5897.JPG,Grenade
1586,21371586,20220804_SD05_5904.JPG,Grenade
1591,21371591,20220804_SD05_5914.JPG,Ziggs
1595,21371595,20220804_SD05_5923.JPG,Ziggs
1596,21371596,20220804_SD05_5924.JPG,Ziggs
1597,21371597,20220804_SD05_5926.JPG,Ziggs
1599,21371599,20220804_SD05_5928.JPG,Ziggs
